Dataset,Classifier,Metric,No oversampling,SMOTE,Borderline SMOTE1,Borderline SMOTE2,ADASYN,Geometric SMOTE
Breast,GBC,F,0.700,0.715,0.727,0.705,0.673,0.722
Breast,GBC,G,0.770,0.780,0.795,0.774,0.748,0.789
Breast,GBC,AUC,0.867,0.867,0.867,0.869,0.858,0.874
Breast,LR,F,0.687,0.732,0.747,0.734,0.730,0.748
Breast,LR,G,0.752,0.799,0.812,0.803,0.798,0.812
Breast,LR,AUC,0.884,0.890,0.888,0.889,0.889,0.896
Ecoli,GBC,F,0.781,0.777,0.773,0.770,0.662,0.821
Ecoli,GBC,G,0.868,0.872,0.868,0.862,0.861,0.904
Ecoli,GBC,AUC,0.948,0.945,0.945,0.940,0.937,0.960
Ecoli,LR,F,0.249,0.716,0.682,0.641,0.473,0.718
Ecoli,LR,G,0.378,0.894,0.885,0.870,0.759,0.900
Ecoli,LR,AUC,0.934,0.935,0.929,0.924,0.896,0.936
Eucalyptus,GBC,F,0.551,0.526,0.540,0.535,0.506,0.549
Eucalyptus,GBC,G,0.682,0.699,0.703,0.714,0.688,0.730
Eucalyptus,GBC,AUC,0.878,0.869,0.872,0.87,0.841,0.874
Eucalyptus,LR,F,0.207,0.529,0.530,0.513,0.468,0.540
Eucalyptus,LR,G,0.399,0.790,0.787,0.785,0.757,0.797
Eucalyptus,LR,AUC,0.857,0.886,0.883,0.879,0.870,0.890
Glass,GBC,F,0.779,0.774,0.774,0.774,0.758,0.792
Glass,GBC,G,0.831,0.830,0.833,0.836,0.822,0.846
Glass,GBC,AUC,0.924,0.920,0.918,0.919,0.911,0.929
Glass,LR,F,0.505,0.657,0.648,0.651,0.650,0.661
Glass,LR,G,0.613,0.733,0.715,0.714,0.719,0.734
Glass,LR,AUC,0.824,0.825,0.814,0.818,0.819,0.825
Haberman,GBC,F,0.339,0.393,0.388,0.385,0.376,0.426
Haberman,GBC,G,0.505,0.558,0.551,0.549,0.542,0.584
Haberman,GBC,AUC,0.627,0.637,0.641,0.636,0.619,0.668
Haberman,LR,F,0.239,0.477,0.485,0.481,0.418,0.484
Haberman,LR,G,0.376,0.622,0.632,0.628,0.578,0.628
Haberman,LR,AUC,0.686,0.693,0.688,0.684,0.650,0.694
Heart,GBC,F,0.745,0.750,0.753,0.754,0.739,0.761
Heart,GBC,G,0.771,0.775,0.776,0.779,0.765,0.781
Heart,GBC,AUC,0.859,0.862,0.864,0.864,0.856,0.868
Heart,LR,F,0.822,0.822,0.823,0.824,0.820,0.826
Heart,LR,G,0.840,0.840,0.841,0.841,0.837,0.843
Heart,LR,AUC,0.902,0.903,0.901,0.900,0.901,0.903
Iris,GBC,F,0.923,0.937,0.915,0.922,0.911,0.939
Iris,GBC,G,0.944,0.954,0.939,0.945,0.940,0.956
Iris,GBC,AUC,0.980,0.985,0.978,0.984,0.972,0.988
Iris,LR,F,0.334,0.648,0.637,0.636,0.674,0.657
Iris,LR,G,0.453,0.731,0.715,0.712,0.752,0.739
Iris,LR,AUC,0.793,0.792,0.747,0.745,0.803,0.801
Libra,GBC,F,0.780,0.850,0.839,0.876,0.786,0.924
Libra,GBC,G,0.821,0.890,0.875,0.915,0.847,0.946
Libra,GBC,AUC,0.943,0.969,0.962,0.976,0.931,0.987
Libra,LR,F,0.316,0.575,0.512,0.475,0.631,0.565
Libra,LR,G,0.432,0.745,0.686,0.659,0.779,0.738
Libra,LR,AUC,0.737,0.766,0.733,0.708,0.776,0.765
Liver,GBC,F,0.636,0.630,0.639,0.644,0.642,0.657
Liver,GBC,G,0.688,0.681,0.687,0.693,0.686,0.701
Liver,GBC,AUC,0.753,0.752,0.755,0.754,0.756,0.758
Liver,LR,F,0.579,0.633,0.622,0.629,0.626,0.640
Liver,LR,G,0.644,0.669,0.658,0.661,0.650,0.669
Liver,LR,AUC,0.713,0.712,0.707,0.709,0.710,0.715
Pima,GBC,F,0.623,0.651,0.654,0.652,0.644,0.659
Pima,GBC,G,0.704,0.728,0.731,0.729,0.722,0.734
Pima,GBC,AUC,0.812,0.811,0.806,0.806,0.800,0.822
Pima,LR,F,0.617,0.675,0.675,0.674,0.676,0.677
Pima,LR,G,0.692,0.748,0.747,0.746,0.747,0.749
Pima,LR,AUC,0.825,0.827,0.825,0.824,0.824,0.830
Segment,GBC,F,0.925,0.927,0.912,0.887,0.856,0.934
Segment,GBC,G,0.941,0.967,0.961,0.960,0.956,0.970
Segment,GBC,AUC,0.996,0.997,0.995,0.994,0.990,0.997
Segment,LR,F,0.648,0.645,0.634,0.622,0.552,0.640
Segment,LR,G,0.749,0.881,0.881,0.888,0.850,0.881
Segment,LR,AUC,0.942,0.942,0.930,0.923,0.922,0.944
Vehicle,GBC,F,0.923,0.927,0.929,0.925,0.923,0.935
Vehicle,GBC,G,0.951,0.958,0.958,0.961,0.962,0.969
Vehicle,GBC,AUC,0.994,0.994,0.995,0.994,0.993,0.995
Vehicle,LR,F,0.940,0.941,0.940,0.895,0.816,0.940
Vehicle,LR,G,0.961,0.968,0.967,0.958,0.924,0.969
Vehicle,LR,AUC,0.995,0.995,0.995,0.992,0.983,0.995
Wine,GBC,F,0.911,0.908,0.912,0.907,0.875,0.933
Wine,GBC,G,0.925,0.923,0.927,0.922,0.898,0.943
Wine,GBC,AUC,0.979,0.978,0.978,0.975,0.965,0.986
Wine,LR,F,0.928,0.935,0.939,0.937,0.898,0.938
Wine,LR,G,0.941,0.947,0.951,0.950,0.918,0.951
Wine,LR,AUC,0.992,0.992,0.991,0.992,0.985,0.993
