Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,ADASYN,G-SMOTE
LR,G-MEAN MACRO,6.00,3.00,4.00,2.00,5.00,1.00
LR,F-SCORE MACRO,3.00,4.00,5.00,2.00,6.00,1.00
LR,ACCURACY,1.00,4.00,5.00,2.00,6.00,3.00
KNN,G-MEAN MACRO,3.00,6.00,4.00,2.00,5.00,1.00
KNN,F-SCORE MACRO,2.00,6.00,4.00,3.00,5.00,1.00
KNN,ACCURACY,1.00,4.00,5.00,3.00,6.00,2.00
DT,G-MEAN MACRO,5.00,6.00,4.00,2.00,3.00,1.00
DT,F-SCORE MACRO,5.00,6.00,4.00,1.00,3.00,2.00
DT,ACCURACY,1.00,4.00,5.00,3.00,6.00,2.00
GBC,G-MEAN MACRO,6.00,5.00,3.00,2.00,4.00,1.00
GBC,F-SCORE MACRO,3.00,5.00,4.00,2.00,6.00,1.00
GBC,ACCURACY,1.00,4.00,5.00,3.00,6.00,2.00
RF,G-MEAN MACRO,6.00,5.00,3.00,2.00,4.00,1.00
RF,F-SCORE MACRO,6.00,5.00,2.00,3.00,4.00,1.00
RF,ACCURACY,1.00,3.00,5.00,4.00,6.00,2.00
