Classifier,Metric,RANDOM OS,G-SMOTE,B-SMOTE,NO OS,SMOTE,ADASYN
LR,G-MEAN MACRO,0.53,0.57,0.53,0.51,0.52,0.52
LR,F-SCORE MACRO,0.29,0.31,0.3,0.3,0.29,0.28
KNN,G-MEAN MACRO,0.48,0.5,0.5,0.5,0.49,0.48
KNN,F-SCORE MACRO,0.24,0.28,0.26,0.27,0.25,0.24
DT,G-MEAN MACRO,0.48,0.52,0.51,0.49,0.49,0.49
DT,F-SCORE MACRO,0.24,0.27,0.27,0.24,0.25,0.25
GBC,G-MEAN MACRO,0.54,0.56,0.55,0.53,0.54,0.54
GBC,F-SCORE MACRO,0.31,0.33,0.31,0.31,0.31,0.31
RF,G-MEAN MACRO,0.54,0.57,0.55,0.53,0.55,0.54
RF,F-SCORE MACRO,0.31,0.34,0.31,0.31,0.32,0.31
