Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
LR,ROC AUC,3.0144927536231885,2.7318840579710146,2.536231884057971,1.7173913043478262
LR,F1,3.347826086956522,2.9420289855072466,2.3550724637681157,1.355072463768116
LR,GEOMETRIC MEAN SCORE,3.6956521739130435,2.2753623188405796,2.0217391304347827,2.0072463768115942
KNN,ROC AUC,3.079710144927536,3.420289855072464,2.1449275362318843,1.355072463768116
KNN,F1,3.398550724637681,2.753623188405797,2.5,1.3478260869565217
KNN,GEOMETRIC MEAN SCORE,3.782608695652174,2.420289855072464,1.789855072463768,2.0072463768115942
DT,ROC AUC,3.318840579710145,2.898550724637681,2.3115942028985508,1.4710144927536233
DT,F1,3.0942028985507246,2.971014492753623,2.5942028985507246,1.3405797101449275
DT,GEOMETRIC MEAN SCORE,3.7681159420289854,2.5217391304347827,1.9492753623188406,1.7608695652173914
GBC,ROC AUC,3.0072463768115942,3.2753623188405796,2.5652173913043477,1.1521739130434783
GBC,F1,3.2971014492753623,2.920289855072464,2.4420289855072466,1.3405797101449275
GBC,GEOMETRIC MEAN SCORE,3.5869565217391304,2.7318840579710146,2.050724637681159,1.6304347826086956
