Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
LR,ROC AUC,2.6159420289855073,2.0072463768115942,1.3768115942028984
LR,F1,2.739130434782609,2.050724637681159,1.210144927536232
LR,GEOMETRIC MEAN SCORE,2.9057971014492754,1.6594202898550725,1.434782608695652
KNN,ROC AUC,2.7681159420289854,1.608695652173913,1.6231884057971016
KNN,F1,2.7246376811594204,1.9275362318840579,1.3478260869565217
KNN,GEOMETRIC MEAN SCORE,2.891304347826087,1.3768115942028984,1.7318840579710144
DT,ROC AUC,2.8768115942028984,1.6159420289855073,1.5072463768115942
DT,F1,2.717391304347826,2.0072463768115942,1.2753623188405796
DT,GEOMETRIC MEAN SCORE,2.9057971014492754,1.5724637681159421,1.5217391304347827
GBC,ROC AUC,2.8260869565217392,1.5869565217391304,1.5869565217391304
GBC,F1,2.8550724637681157,1.710144927536232,1.434782608695652
GBC,GEOMETRIC MEAN SCORE,2.898550724637681,1.4057971014492754,1.6956521739130435
