Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
LR,ROC AUC,2.4927536231884058,2.253623188405797,1.2536231884057971
LR,F1,2.6594202898550723,2.1666666666666665,1.173913043478261
LR,GEOMETRIC MEAN SCORE,2.86231884057971,1.9202898550724639,1.2173913043478262
KNN,ROC AUC,2.246376811594203,2.471014492753623,1.2826086956521738
KNN,F1,2.6159420289855073,2.1739130434782608,1.210144927536232
KNN,GEOMETRIC MEAN SCORE,2.8333333333333335,1.826086956521739,1.3405797101449275
DT,ROC AUC,2.398550724637681,2.347826086956522,1.2536231884057971
DT,F1,2.391304347826087,2.4130434782608696,1.1956521739130435
DT,GEOMETRIC MEAN SCORE,2.6956521739130435,2.036231884057971,1.2681159420289856
GBC,ROC AUC,2.36231884057971,2.4420289855072466,1.1956521739130435
GBC,F1,2.5869565217391304,2.246376811594203,1.1666666666666667
GBC,GEOMETRIC MEAN SCORE,2.6594202898550723,2.072463768115942,1.2681159420289856
