Classifier,Metric,NO OVERSAMPLING,SMOTE
LR,ROC AUC,3.0362705527716526e-05,6.44153153953403e-05
LR,F1,2.928309811347287e-11,1.9969670682524213e-09
LR,GEOMETRIC MEAN SCORE,3.2426707747104735e-12,5.319877989808964e-07
KNN,ROC AUC,8.005997189473398e-07,0.01554404508417843
KNN,F1,2.7009649788640336e-11,0.0019006642437266609
KNN,GEOMETRIC MEAN SCORE,1.823442053252515e-13,0.14199561879167263
DT,ROC AUC,4.1174817338395124e-09,0.0002735613342745873
DT,F1,4.166953370011339e-09,4.404248806000068e-09
DT,GEOMETRIC MEAN SCORE,9.098310360664589e-11,0.0006403304315735969
GBC,ROC AUC,6.699521163225516e-07,7.628777705023258e-06
GBC,F1,7.794269995738274e-11,0.0013712552654286205
GBC,GEOMETRIC MEAN SCORE,1.0651116184174409e-10,0.9927153244684932
