Dataset name,Features,Instances,Minority instances,Majority instances,Imbalance Ratio
HEART,13,270,120,150,1.25
LIVER,6,345,145,200,1.38
WINE,13,178,71,107,1.51
PIMA,8,769,268,501,1.87
BREAST TISSUE,9,106,36,70,1.94
IRIS,4,150,50,100,2.0
GLASS,9,214,70,144,2.06
YEAST 1,8,1484,429,1055,2.46
HEART (2),13,210,60,150,2.5
LIVER (2),6,272,72,200,2.78
HABERMAN,3,306,81,225,2.78
WINE (2),13,142,35,107,3.06
VEHICLE,18,846,199,647,3.25
PIMA (2),8,635,134,501,3.74
HEART (3),13,190,40,150,3.75
BREAST TISSUE (2),9,88,18,70,3.89
IRIS (2),4,125,25,100,4.0
GLASS (2),9,179,35,144,4.11
LIVER (3),6,248,48,200,4.17
WINE (3),13,130,23,107,4.65
YEAST 1 (2),8,1269,214,1055,4.93
NEW THYROID 2,5,215,35,180,5.14
NEW THYROID 1,5,215,35,180,5.14
ECOLI,7,336,52,284,5.46
EUCALYPTUS,8,642,98,544,5.55
HABERMAN (2),3,265,40,225,5.62
PIMA (3),8,590,89,501,5.63
SEGMENTATION,16,2310,330,1980,6.0
IRIS (3),4,116,16,100,6.25
GLASS (3),9,167,23,144,6.26
VEHICLE (2),18,746,99,647,6.54
YEAST 1 (3),8,1198,143,1055,7.38
YEAST 3,8,1484,163,1321,8.1
HABERMAN (3),3,252,27,225,8.33
PAGE BLOCKS 0,10,5472,559,4913,8.79
VEHICLE (3),18,713,66,647,9.8
VOWEL,13,988,90,898,9.98
NEW THYROID 1 (2),5,197,17,180,10.59
NEW THYROID 2 (2),5,197,17,180,10.59
ECOLI (2),7,310,26,284,10.92
LED,7,443,37,406,10.97
EUCALYPTUS (2),8,593,49,544,11.1
SEGMENTATION (2),16,2145,165,1980,12.0
LIBRAS,90,360,24,336,14.0
PAGE BLOCKS 1 3,10,472,28,444,15.86
YEAST 3 (2),8,1402,81,1321,16.31
ECOLI (3),7,301,17,284,16.71
DERMATOLOGY,34,358,20,338,16.9
EUCALYPTUS (3),8,576,32,544,17.0
PAGE BLOCKS 0 (2),10,5192,279,4913,17.61
SEGMENTATION (3),16,2090,110,1980,18.0
VOWEL (2),13,943,45,898,19.96
LED (2),7,424,18,406,22.56
YEAST 3 (3),8,1375,54,1321,24.46
PAGE BLOCKS 0 (3),10,5099,186,4913,26.41
MANDELON 1,20,4000,142,3858,27.17
MANDELON 2,200,3000,105,2895,27.57
YEAST 4,8,1484,51,1433,28.1
VOWEL (3),13,928,30,898,29.93
YEAST 5,8,1484,44,1440,32.73
YEAST 6,8,1484,35,1449,41.4
MANDELON 1 (2),20,3929,71,3858,54.34
MANDELON 2 (2),200,2947,52,2895,55.67
YEAST 4 (2),8,1458,25,1433,57.32
YEAST 5 (2),8,1462,22,1440,65.45
MANDELON 1 (3),20,3905,47,3858,82.09
MANDELON 2 (3),200,2930,35,2895,82.71
YEAST 4 (3),8,1450,17,1433,84.29
YEAST 6 (2),8,1466,17,1449,85.24
