Classifier,Metric,NO OVER,ROS,SMOTE,SOMO,G-SMOTE,G-SOMO
LR,AUC,5.01 $\pm$ 0.11,4.73 $\pm$ 0.14,3.54 $\pm$ 0.09,2.32 $\pm$ 0.12,2.12 $\pm$ 0.12,1.42 $\pm$ 0.12
LR,F-SCORE,5.35 $\pm$ 0.12,4.94 $\pm$ 0.09,3.36 $\pm$ 0.09,2.26 $\pm$ 0.08,2.11 $\pm$ 0.08,1.26 $\pm$ 0.08
LR,G-MEAN,5.70 $\pm$ 0.08,4.28 $\pm$ 0.11,3.02 $\pm$ 0.08,2.01 $\pm$ 0.11,1.95 $\pm$ 0.11,1.57 $\pm$ 0.11
KNN,AUC,5.08 $\pm$ 0.09,5.42 $\pm$ 0.08,3.14 $\pm$ 0.11,2.11 $\pm$ 0.07,2.05 $\pm$ 0.07,1.26 $\pm$ 0.07
KNN,F-SCORE,5.40 $\pm$ 0.11,4.75 $\pm$ 0.10,3.50 $\pm$ 0.11,2.35 $\pm$ 0.07,2.25 $\pm$ 0.07,1.29 $\pm$ 0.07
KNN,G-MEAN,5.78 $\pm$ 0.06,4.42 $\pm$ 0.09,3.19 $\pm$ 0.11,2.01 $\pm$ 0.11,1.95 $\pm$ 0.11,1.23 $\pm$ 0.11
DT,AUC,5.32 $\pm$ 0.11,4.90 $\pm$ 0.11,3.31 $\pm$ 0.11,2.21 $\pm$ 0.08,1.97 $\pm$ 0.08,1.27 $\pm$ 0.08
DT,F-SCORE,5.09 $\pm$ 0.12,4.97 $\pm$ 0.09,3.59 $\pm$ 0.11,2.34 $\pm$ 0.07,2.25 $\pm$ 0.07,1.27 $\pm$ 0.07
DT,G-MEAN,5.77 $\pm$ 0.07,4.52 $\pm$ 0.09,2.95 $\pm$ 0.10,1.86 $\pm$ 0.10,1.77 $\pm$ 0.10,1.66 $\pm$ 0.10
GBC,AUC,5.01 $\pm$ 0.10,5.28 $\pm$ 0.08,3.57 $\pm$ 0.11,2.15 $\pm$ 0.05,2.02 $\pm$ 0.05,1.35 $\pm$ 0.05
GBC,F-SCORE,5.30 $\pm$ 0.11,4.92 $\pm$ 0.10,3.44 $\pm$ 0.10,2.24 $\pm$ 0.07,2.11 $\pm$ 0.07,1.34 $\pm$ 0.07
GBC,G-MEAN,5.59 $\pm$ 0.09,4.73 $\pm$ 0.11,3.15 $\pm$ 0.09,2.03 $\pm$ 0.10,1.93 $\pm$ 0.10,1.23 $\pm$ 0.10
