Classifier,Metric,SMOTE,K-MEANS SMOTE,SOMO,G-SMOTE
LR,AUC,3.55 $\pm$ 0.13,2.88 $\pm$ 0.04,1.92 $\pm$ 0.03,3.12 $\pm$ 0.11
LR,F-SCORE,10.28 $\pm$ 1.24,3.75 $\pm$ 0.18,2.60 $\pm$ 0.11,8.34 $\pm$ 1.30
LR,G-MEAN,4.62 $\pm$ 0.34,3.02 $\pm$ 0.06,2.03 $\pm$ 0.04,2.97 $\pm$ 0.33
KNN,AUC,3.22 $\pm$ 0.51,3.08 $\pm$ 0.06,2.08 $\pm$ 0.04,1.42 $\pm$ 0.44
KNN,F-SCORE,10.52 $\pm$ 1.29,4.12 $\pm$ 0.22,2.84 $\pm$ 0.15,4.40 $\pm$ 0.73
KNN,G-MEAN,3.62 $\pm$ 0.60,3.31 $\pm$ 0.07,2.20 $\pm$ 0.05,1.59 $\pm$ 0.40
DT,AUC,4.74 $\pm$ 0.37,2.85 $\pm$ 0.06,2.00 $\pm$ 0.04,1.49 $\pm$ 0.37
DT,F-SCORE,9.64 $\pm$ 1.49,3.49 $\pm$ 0.18,2.57 $\pm$ 0.12,1.95 $\pm$ 0.82
DT,G-MEAN,4.97 $\pm$ 0.58,2.94 $\pm$ 0.07,2.09 $\pm$ 0.04,1.13 $\pm$ 0.53
GBC,AUC,4.04 $\pm$ 0.22,2.77 $\pm$ 0.05,1.91 $\pm$ 0.03,2.14 $\pm$ 0.31
GBC,F-SCORE,7.53 $\pm$ 0.95,3.55 $\pm$ 0.16,2.51 $\pm$ 0.12,0.73 $\pm$ 0.79
GBC,G-MEAN,3.90 $\pm$ 0.52,2.88 $\pm$ 0.08,2.09 $\pm$ 0.05,0.00 $\pm$ 0.57
