Dataset,Classifier,Metric,NONE,ROS,SMOTE,B-SMOTE,K-SMOTE
Botswana,LR,Accuracy,0.920,0.917,0.920,0.921,\textbf{0.927}
Botswana,LR,F-score,0.913,0.909,0.913,0.914,\textbf{0.921}
Botswana,LR,G-mean,0.952,0.950,0.952,0.952,\textbf{0.956}
Botswana,KNN,Accuracy,0.875,0.862,0.881,0.869,\textbf{0.889}
Botswana,KNN,F-score,0.859,0.850,0.873,0.859,\textbf{0.879}
Botswana,KNN,G-mean,0.924,0.918,0.930,0.923,\textbf{0.933}
Botswana,RF,Accuracy,0.873,0.884,0.877,0.877,\textbf{0.890}
Botswana,RF,F-score,0.865,0.877,0.872,0.870,\textbf{0.883}
Botswana,RF,G-mean,0.925,0.933,0.929,0.928,\textbf{0.936}
IP,LR,Accuracy,0.687,0.681,0.680,0.678,\textbf{0.692}
IP,LR,F-score,0.662,0.663,0.659,0.659,\textbf{0.674}
IP,LR,G-mean,0.798,0.801,0.798,0.797,\textbf{0.807}
IP,KNN,Accuracy,\textbf{0.644},0.602,0.589,0.557,0.632
IP,KNN,F-score,0.593,0.591,0.603,0.560,\textbf{0.604}
IP,KNN,G-mean,0.757,0.764,\textbf{0.782},0.751,0.781
IP,RF,Accuracy,0.742,0.747,0.747,0.740,\textbf{0.752}
IP,RF,F-score,0.673,0.704,0.713,0.701,\textbf{0.714}
IP,RF,G-mean,0.806,0.826,0.835,0.831,\textbf{0.838}
KSC,LR,Accuracy,0.904,0.905,0.905,0.899,\textbf{0.909}
KSC,LR,F-score,0.868,0.873,0.874,0.862,\textbf{0.877}
KSC,LR,G-mean,0.928,0.932,0.932,0.924,\textbf{0.934}
KSC,KNN,Accuracy,0.855,0.859,0.862,0.857,\textbf{0.865}
KSC,KNN,F-score,0.808,0.819,\textbf{0.827},0.810,0.826
KSC,KNN,G-mean,0.893,0.901,\textbf{0.906},0.895,0.905
KSC,RF,Accuracy,0.860,0.859,0.863,0.859,\textbf{0.868}
KSC,RF,F-score,0.817,0.815,0.826,0.816,\textbf{0.832}
KSC,RF,G-mean,0.898,0.899,0.905,0.898,\textbf{0.907}
PC,LR,Accuracy,0.954,0.955,0.955,0.950,\textbf{0.956}
PC,LR,F-score,0.944,0.947,0.947,0.941,\textbf{0.948}
PC,LR,G-mean,0.968,0.972,0.972,0.966,\textbf{0.973}
PC,KNN,Accuracy,\textbf{0.926},0.920,0.923,0.924,\textbf{0.926}
PC,KNN,F-score,\textbf{0.915},0.909,0.913,0.913,\textbf{0.915}
PC,KNN,G-mean,0.953,0.955,\textbf{0.957},0.954,\textbf{0.957}
PC,RF,Accuracy,0.938,0.941,0.940,0.938,\textbf{0.942}
PC,RF,F-score,0.928,0.932,0.931,0.928,\textbf{0.933}
PC,RF,G-mean,0.959,0.964,\textbf{0.965},0.961,\textbf{0.965}
PU,LR,Accuracy,\textbf{0.905},0.897,0.897,0.891,0.904
PU,LR,F-score,0.890,0.894,0.894,0.888,\textbf{0.898}
PU,LR,G-mean,0.932,0.947,0.947,0.942,\textbf{0.949}
PU,KNN,Accuracy,\textbf{0.895},0.867,0.865,0.873,\textbf{0.895}
PU,KNN,F-score,\textbf{0.891},0.868,0.868,0.874,\textbf{0.891}
PU,KNN,G-mean,0.940,0.935,0.936,0.936,\textbf{0.941}
PU,RF,Accuracy,\textbf{0.912},0.908,0.907,0.908,0.911
PU,RF,F-score,\textbf{0.909},0.906,0.906,0.908,\textbf{0.909}
PU,RF,G-mean,0.946,0.946,0.948,0.948,\textbf{0.949}
Salinas,LR,Accuracy,\textbf{0.990},\textbf{0.990},0.989,\textbf{0.990},\textbf{0.990}
Salinas,LR,F-score,0.985,\textbf{0.986},0.985,0.985,\textbf{0.986}
Salinas,LR,G-mean,0.992,\textbf{0.993},0.992,0.992,\textbf{0.993}
Salinas,KNN,Accuracy,\textbf{0.970},0.967,0.969,0.967,\textbf{0.970}
Salinas,KNN,F-score,0.959,0.957,\textbf{0.960},0.957,\textbf{0.960}
Salinas,KNN,G-mean,0.977,0.978,\textbf{0.981},0.976,\textbf{0.981}
Salinas,RF,Accuracy,0.984,0.983,0.983,0.983,\textbf{0.985}
Salinas,RF,F-score,0.979,0.979,0.977,0.978,\textbf{0.980}
Salinas,RF,G-mean,0.989,0.989,0.989,0.989,\textbf{0.990}
SA,LR,Accuracy,0.979,0.981,0.983,0.979,\textbf{0.984}
SA,LR,F-score,0.976,0.979,\textbf{0.982},0.977,\textbf{0.982}
SA,LR,G-mean,0.985,0.988,\textbf{0.990},0.987,0.989
SA,KNN,Accuracy,0.987,0.979,0.982,0.983,\textbf{0.988}
SA,KNN,F-score,0.986,0.979,0.981,0.982,\textbf{0.987}
SA,KNN,G-mean,0.992,0.989,0.990,0.991,\textbf{0.993}
SA,RF,Accuracy,0.980,0.983,0.984,0.979,\textbf{0.985}
SA,RF,F-score,0.979,0.982,0.983,0.978,\textbf{0.984}
SA,RF,G-mean,0.987,0.988,0.989,0.986,\textbf{0.990}
