Labels,A,B,C,D,E,F,G,H,UA,Total
A,21.448248720975993,10.901613537977175,7.655844155844156,3.8841007477371114,5.662140889413617,1.780401416765053,1.0017709563164108,0.4439197166469893,0.41324792525511017,52.778040141676506
B,4.0017709563164106,26.881936245572607,12.674340810704448,9.438213301849665,9.546831955922865,1.6696182605273513,0.11176702085792994,0.0,0.42055363816601465,64.32447855175128
C,6.113537977174341,8.450019677292405,159.54427390791028,17.89374262101535,3.448445493900039,1.0007870916961827,0.5588351042896497,0.33530106257378983,0.8081944516202583,197.34494293585203
D,1.6652892561983472,12.106060606060607,31.579496261314443,44.67788272333727,9.001770956316411,1.2276662731208186,0.44234553325462417,0.0,0.44348413022850114,100.70051160960253
E,4.778236914600551,19.897087760724123,10.554702872884691,10.003345139708776,21.67512790240063,2.5499803227075954,0.6646989374262101,0.0,0.31223900969105006,70.12317985045257
F,4.773711137347501,8.54978354978355,17.551751279024003,7.558048012593467,5.670405352223534,3.0015741833923655,0.222353404171586,0.33530106257378983,0.06481076050292954,47.662927981109796
G,0.777646595828414,2.3280204643841005,12.447855175127904,5.103109012199922,5.995277449822904,0.663715072805982,0.333530106257379,0.0,0.013776581545176587,27.649153876426606
H,0.11038961038961038,0.885478158205431,1.6605667060212514,0.11038961038961038,0.6688311688311689,0.44155844155844154,0.0,0.22077922077922077,0.027597402597402596,4.097992916174735
PA,0.4911359621863178,0.2986881805063623,0.6289911187440054,0.45281640019369823,0.3513793147224232,0.2436830845921755,0.11117670208579299,0.22077922077922077,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
