Ratio,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,GSDOT,BENCHMARK METHOD
50,LR,ACCURACY,4.64,4.64,3.07,5.14,\textbf{1.71},1.79
50,LR,G-MEAN,5.14,4.57,\textbf{2.57},4.14,2.71,1.86
50,KNN,ACCURACY,4.36,5.43,3.0,4.14,\textbf{2.14},1.93
50,KNN,G-MEAN,4.71,5.0,3.0,4.0,\textbf{2.43},1.86
50,DT,ACCURACY,4.43,4.57,3.79,4.71,\textbf{1.71},1.79
50,DT,G-MEAN,4.79,4.64,3.36,4.64,\textbf{1.86},1.71
50,GBC,ACCURACY,5.29,4.21,4.0,4.36,\textbf{1.79},1.36
50,GBC,G-MEAN,5.21,4.5,3.93,4.21,\textbf{1.86},1.29
75,LR,ACCURACY,4.0,4.64,3.86,5.36,\textbf{2.14},1.0
75,LR,G-MEAN,4.43,4.86,3.71,4.57,\textbf{2.29},1.14
75,KNN,ACCURACY,4.86,4.57,2.79,5.0,\textbf{2.21},1.57
75,KNN,G-MEAN,5.43,4.57,2.57,4.57,\textbf{2.29},1.57
75,DT,ACCURACY,4.14,4.29,4.14,5.0,\textbf{2.14},1.29
75,DT,G-MEAN,4.43,4.0,4.14,4.86,\textbf{2.43},1.14
75,GBC,ACCURACY,4.71,4.0,3.86,4.86,\textbf{2.43},1.14
75,GBC,G-MEAN,4.86,4.14,4.0,4.43,\textbf{2.43},1.14
90,LR,ACCURACY,4.21,4.29,3.64,5.43,\textbf{2.43},1.0
90,LR,G-MEAN,5.14,4.29,3.86,4.43,\textbf{2.29},1.0
90,KNN,ACCURACY,5.0,4.36,3.0,5.07,\textbf{2.57},1.0
90,KNN,G-MEAN,5.43,4.57,2.57,5.0,\textbf{2.43},1.0
90,DT,ACCURACY,4.21,4.36,4.21,5.21,\textbf{2.0},1.0
90,DT,G-MEAN,4.5,4.07,4.36,4.93,\textbf{2.14},1.0
90,GBC,ACCURACY,4.64,4.14,3.93,5.0,\textbf{2.29},1.0
90,GBC,G-MEAN,4.43,4.14,4.14,5.0,\textbf{2.29},1.0
95,LR,ACCURACY,4.29,4.71,3.29,5.14,\textbf{2.57},1.0
95,LR,G-MEAN,4.64,4.79,3.29,4.43,\textbf{2.86},1.0
95,KNN,ACCURACY,5.14,4.71,\textbf{2.57},4.86,2.71,1.0
95,KNN,G-MEAN,5.57,4.29,3.0,4.29,\textbf{2.86},1.0
95,DT,ACCURACY,5.36,4.29,3.93,4.43,\textbf{2.0},1.0
95,DT,G-MEAN,5.14,4.29,3.86,4.43,\textbf{2.29},1.0
95,GBC,ACCURACY,4.43,4.36,3.71,5.29,\textbf{2.21},1.0
95,GBC,G-MEAN,4.5,4.5,3.64,4.86,\textbf{2.5},1.0
