Ratio,Classifier,Metric,Difference
50,LR,ACCURACY,0.27 $\pm$ 0.11
50,LR,G-MEAN,-0.52 $\pm$ 0.56
50,KNN,ACCURACY,0.35 $\pm$ 0.24
50,KNN,G-MEAN,0.51 $\pm$ 0.51
50,DT,ACCURACY,2.56 $\pm$ 1.15
50,DT,G-MEAN,2.73 $\pm$ 1.26
50,GBC,ACCURACY,1.72 $\pm$ 0.93
50,GBC,G-MEAN,1.57 $\pm$ 0.82
75,LR,ACCURACY,0.58 $\pm$ 0.29
75,LR,G-MEAN,0.35 $\pm$ 0.18
75,KNN,ACCURACY,0.64 $\pm$ 0.60
75,KNN,G-MEAN,0.62 $\pm$ 0.93
75,DT,ACCURACY,4.23 $\pm$ 2.28
75,DT,G-MEAN,4.24 $\pm$ 2.27
75,GBC,ACCURACY,3.06 $\pm$ 2.02
75,GBC,G-MEAN,3.44 $\pm$ 2.39
90,LR,ACCURACY,1.19 $\pm$ 0.44
90,LR,G-MEAN,1.10 $\pm$ 0.45
90,KNN,ACCURACY,1.06 $\pm$ 1.31
90,KNN,G-MEAN,0.53 $\pm$ 1.31
90,DT,ACCURACY,5.78 $\pm$ 2.64
90,DT,G-MEAN,5.45 $\pm$ 2.69
90,GBC,ACCURACY,5.18 $\pm$ 2.53
90,GBC,G-MEAN,7.46 $\pm$ 2.95
95,LR,ACCURACY,1.20 $\pm$ 0.47
95,LR,G-MEAN,-0.80 $\pm$ 2.78
95,KNN,ACCURACY,0.05 $\pm$ 0.26
95,KNN,G-MEAN,6.75 $\pm$ 6.95
95,DT,ACCURACY,3.51 $\pm$ 1.38
95,DT,G-MEAN,4.09 $\pm$ 1.65
95,GBC,ACCURACY,3.67 $\pm$ 2.16
95,GBC,G-MEAN,4.15 $\pm$ 2.28
